Company Name,Job Title,Location,Company Domain,Job LinkedIn URL,Posted On,GPA out of 4,GPA out of 5,Majors,Duration,Skills,Description
PwC,Deals COOPs - Data Analytics - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-data-analytics-ksa-at-pwc-4061739971,2024-10-28T19:15:48.561Z,3.0,,"business,engineering",28 weeks,"Data analysis, Statistical knowledge, Python, SQL, Machine learning","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You'll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op you'll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You'll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, Government & Infrastructure. We are looking for a final year student with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred. You must be eligible for a Co-op internship and available for the full 28 weeks, and have the legal right to work in the country you are applying to without restrictions (no sponsorship provided)."
PwC Middle East,Deals COOPs - Transaction Services - Jeddah,Jeddah,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coops-transaction-services-jeddah-at-pwc-middle-east-4061357126,2024-10-28T20:08:51.000Z,3.0,,"business, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","PwC Middle East is hiring for a Deals COOPs - Transaction Services position in Jeddah, Saudi Arabia. The Co-op internship is a 28-week program starting in August 2024, offering students experience working on live client projects alongside experienced professionals. The role involves working on client engagements, participating in projects, and strengthening skills. Successful completion may lead to a graduate job offer. Applicants should be eligible for a Co-op internship, be a final-year student with a related degree (Business or Engineering) and a 3.0/4.0 GPA. Arabic speaking candidates are preferred. The internship is for 28 weeks and does not offer visa sponsorship."
Le Pure Brand Activation & Engagement Agency,COOP Internship,Jeddah,lepure.biz,https://www.linkedin.com/jobs/view/coop-internship-at-le-pure-brand-activation-engagement-agency-4061499047,2024-10-29T14:54:18.824Z,,,"event management, marketing, graphic design, accounting",6 months,"Microsoft skills, English (intermediate)","Is your goal to turn your college knowledge into experience? Are you looking for a work environment that will allow you to unleash your highest potential? Then, our COOP Program is the right start for you! After ten years in the industry, we have increased our marketing and event management expertise, allowing us to serve our clients better. Your Role in Marketing: With our expert employees, you will be able to implement your knowledge and gain real work experience. From contacting the client and understanding their needs to working on different marketing aspects, you will gain fast experience, and we will empower you to handle the projects yourself over time. The Required Majors: Event Management (Account management), Accounting (Project Planning), Marketing (Brand Management, Digital Marketing, and content creation), Graphic Design. Job Qualifications: Undergraduate students or seniors. Available in the 6-month internship period. Intermediate in English. Have Microsoft skills. Passionate learner and goal-oriented. What we offer: A well-planned program that takes you into a high experience level. A mentor will guide you and consistently share with you their experience and feedback. A healthy work environment where we will offer you a work laptop, desk, resting room for ladies, and a kitchen where you can have your lunch break. A chance for you to be part of our team because we train you mainly to be part of us."
Elm Company,Coop Training - Management Information System (Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-management-information-system-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056471115,2024-10-23T19:02:48.000Z,2.75,3.25,management information systems,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company is hiring for a Coop Training - Management Information System position. The program offers a unique experience and challenges in IT Development, Quality Assurance, IoT, Artificial Intelligence, Innovation, Data Science, Data Analytics, Business Analyst, Business Development, Sales, Corporate Development, Procurement, Finance, and HR. The Coop program provides practical work experience and exposure to emerging technologies. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and students with one remaining final semester to graduate. The training duration is a minimum of 16 weeks."
Elm Company,Coop Training - Information Technology (Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-information-technology-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056464978,2024-10-23T19:02:58.000Z,2.75,3.25,information technology,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers multiple Coop opportunities in IT Development, Quality Assurance, IoT, Artificial Intelligence, Innovation, Data Science, Data Analytics, Business Analyst, Business Development, Sales, Corporate Development, Procurement, Finance, and HR. The Coop Program provides practical experience and exposure to emerging technologies. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and students with one remaining final semester before graduation. The Coop Training lasts a minimum of 16 weeks, starting March 12, 2023."
PwC,Deals COOPs - Business Restructuring Services - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-business-restructuring-services-ksa-at-pwc-4061740889,2024-10-28T19:33:12.865Z,3.0,,"business,engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you’ll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You’ll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op you’ll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You’ll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you’ll have a potential fast track into our Graduate Program at the end of the co-op. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, Government & Infrastructure. Be eligible for a Co-op internship and available for the full 28 weeks, with your university and final year student with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred. Have the legal right to work in the country you are applying to without restrictions, we do not provide sponsorship for our internships."
Elm Company,Coop Training - Marketing (Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-marketing-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056464977,2024-10-23T19:02:57.000Z,2.75,3.25,marketing,16 weeks,"SEO, Content creation, Analytics, Social media management","Elm Company offers multiple Coop training opportunities across various domains including IT Development, Quality Assurance, IoT, Artificial Intelligence, Innovation, Data Science, Data Analytics, Business Analyst, Business Development, Sales, Corporate Development, Procurement, Finance, and HR. The Marketing Coop position requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and is for students with one remaining final semester before graduation. The Coop training lasts a minimum of 16 weeks. Elm is a Saudi Joint Stock Company, a leading digital enabler for government and business sectors, providing comprehensive technical solutions and digital services."
Elm Company,Coop Training - Finance(Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-finance-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056471127,2024-10-23T19:03:40.000Z,2.75,3.25,finance,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers Coop Training opportunities in various domains, including Finance. The Finance Coop program requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and is open to students with one remaining final semester before graduation. The program lasts a minimum of 16 weeks."
PwC,Deals COOPs - Corporate Finance - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-corporate-finance-ksa-at-pwc-4061746127,2024-10-28T19:40:47.412Z,3.0,,"business, finance, engineering, accounting",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you’ll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high-caliber students the opportunity to experience work and life at PwC, and gain valuable insight into our business and culture. You’ll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization, and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op, you’ll gain invaluable industry experience, work with inspiring people driven to make a difference and become part of a culture that thrives on the diversity of its people. You’ll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, and Government & Infrastructure. We are looking for final year students with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates are preferred. You must be eligible for a Co-op internship and available for the full 28 weeks. You must have the legal right to work in the country you are applying to without restrictions; we do not provide sponsorship for our internships."
PwC Middle East,Tax & Legal Services_TP_ Co-op - KSA,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/tax-legal-services-tp-co-op-ksa-at-pwc-middle-east-4060394911,2024-10-28T16:23:58.561Z,3.0,,"economics, finance",8 weeks,"Time management, Communication skills, Adaptability, Problem-solving","We are PwC Middle East. Our business makes change happen. With around 11,000 people across 12 countries in the Middle East, you’ll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. A career within Tax & Legal services will provide you with the opportunity to help our clients meet and manage their tax obligations across unique but ever-changing tax specialties. We advise clients on their local and overseas tax affairs and act as strategic consultants related to business analysis, managing indirect taxes, dispute resolution, and global enterprise tax solutions. As a summer intern, you’ll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You’ll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. The teams you could join include Transfer Pricing and Indirect Taxes. We are looking for a current 3rd or final year student, eligible for an internship and available for the full 8 weeks over summer from your university with a related degree in Finance, Economics or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates are preferred. You must have the legal right to work in the country you are applying without restrictions; we do not provide sponsorship for our internships."
PwC Middle East,Deals COOPs - Forensics - KSA,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coops-forensics-ksa-at-pwc-middle-east-4060399447,2024-10-28T16:14:53.337Z,3.0,,"business, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You'll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op you'll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You'll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you'll have a potential fast track into our Graduate Program at the end of the co-op. The Teams You Could Join Include Transaction Services Business Restructuring Services Forensic Services Valuations Corporate Finance Deals, Strategy & Operations Government & Infrastructure. We are looking for final year students with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred."
PwC,Deals COOPs - Transaction Services - Jeddah,Jeddah,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-transaction-services-jeddah-at-pwc-4061746130,2024-10-28T19:45:29.000Z,3.0,,"business, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You'll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op you'll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You'll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you'll have a potential fast track into our Graduate Program at the end of the co-op. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, Government & Infrastructure. We are looking for a final year student with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred. You must be eligible for a Co-op internship and available for the full 28 weeks, and have the legal right to work in Saudi Arabia without restrictions (no sponsorship provided)."
PwC,Deals COOPs - Transaction Services - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/deals-coops-transaction-services-ksa-at-pwc-4061753106,2024-10-28T19:25:50.764Z,3.0,,"business, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you’ll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Our Co-op Internships offer high caliber students the opportunity to experience work and life at PwC, and gain a valuable insight into our business and culture. You’ll work alongside graduate trainees and experienced professionals on live and interesting client projects. Deals provide an opportunity for faster growth, development of stronger capabilities, accelerated operational transformation, value realization and protection. We draw upon our deals experience across many industries to support and partner with our clients. As a co-op you’ll gain invaluable industry experience, work with inspiring people driven to make a difference and become a part of a culture that thrives on the diversity of its people. You’ll work on client engagements, take part in projects addressing some of the tough challenges and strengthen your skills while witnessing the impact of your contribution. And you’ll have a potential fast track into our Graduate Program at the end of the co-op. The teams you could join include: Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, Government & Infrastructure. Requirements: Be eligible for a Co-op internship and available for the full 28 weeks, final year student with a related degree in Business or Engineering or similar and a cumulative GPA of 3.0/4. Arabic speaking candidates preferred. Have the legal right to work in the country you are applying to without restrictions, we do not provide sponsorship for our internships."
SCAI | سكاي,Intern,Riyadh,scai.sa,https://www.linkedin.com/jobs/view/intern-at-scai-%D8%B3%D9%83%D8%A7%D9%8A-4064792471,2024-11-03T12:00:00.000Z,3.0,4.0,"artificial intelligence, human resources management, computer science software engineering, law, financeaccounting, mis, marketing, information systems, business administration, information technology",6 Months,Intermediate to fluent English,"SCAI is offering multiple co-op training opportunities for undergraduate students in various majors including Computer Science, MIS, Finance/Accounting, Marketing, Human Resources management, Law, and Business Administration. The internship starts January 5, 2025, lasts 6 months, and is located in Riyadh, Saudi Arabia. Requirements include being a Saudi national whose university requires co-op training for graduation, a minimum GPA of 3/4 or 4/5, and intermediate to fluent English skills. Benefits include a paid internship, on-the-job training, and career development."
PwC,TLS ITX Co-op- KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/tls-itx-co-op-ksa-at-pwc-4061743690,2024-10-28T19:18:16.408Z,3.0,,"law, economics",28 weeks,"Time management, Communication skills, Adaptability, Problem-solving","Co-op Internship - Tax & Legal - 2024. A career within Tax & Legal services will provide the opportunity to help clients meet and manage their tax obligations. Responsibilities include advising clients on local and overseas tax affairs, acting as a strategic consultant, and working on projects addressing tough challenges. The Co-op starts in June or August 2024. Applicants should be eligible for a Co-op internship, available for 28 weeks, a final-year student with a related degree (Law, Economics, or similar) and a 3.0/4.0 GPA. Arabic speaking candidates are preferred."
PwC Middle East,Deals COOPs - Data Analytics - KSA,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coops-data-analytics-ksa-at-pwc-middle-east-4061354385,2024-10-28T20:17:54.835Z,3.0,,"business, engineering",28 weeks,"Data analysis, Statistical knowledge, Python, SQL, Machine learning","PwC Middle East is hiring for a Deals COOPs - Data Analytics - KSA position in Riyadh, Saudi Arabia. The Co-op internship is 28 weeks long, starting in August 2024. Successful candidates will gain industry experience, work on client engagements, and potentially receive a fast-track into the Graduate Program. The teams include Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, and Government & Infrastructure. Applicants should be eligible for a Co-op internship, be a final-year student with a related degree (Business or Engineering preferred) and a 3.0/4.0 GPA. Arabic speakers are preferred. The position does not offer visa sponsorship."
Nahdi Medical Co.,Supply Chain Internship,Saudi Arabia,nahdi.sa,https://www.linkedin.com/jobs/view/supply-chain-internship-at-nahdi-medical-co-4067531874,2024-11-03T17:37:28.410Z,,,"industrial engineering, supply chain management",6 months,"Proficient in English, Proficient in Microsoft Office applications (Word, Excel, PowerPoint & Outlook), Excellent written and verbal communication skills","Nahdi Medical Co. offers a six-month Supply Chain Internship. Interns will gain hands-on experience in Quality, Logistics, or Demand Inventory Management. Qualifications include a relevant Bachelor's degree, Saudi nationality or equivalent, English proficiency, Microsoft Office skills, and excellent communication skills. The application process involves an online application, behavioral assessment, and interviews with HR and the Supply Chain team. Nahdi Medical Co. is described as Saudi Arabia's most loved health and wellbeing partner, trusted by millions."
PwC Middle East,Deals COOPs - Transaction Services - KSA,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coops-transaction-services-ksa-at-pwc-middle-east-4061433204,2024-10-29T07:39:27.081Z,3.0,,"finance, economics, information systems, business administration, engineering, accounting",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","PwC Middle East is hiring for Deals COOPs - Transaction Services - KSA. The Co-op internship offers students experience at PwC, working on live client projects alongside experienced professionals. The internship starts in January 2024 and lasts 28 weeks. Successful candidates will gain industry experience, work on client engagements, and potentially receive a fast-track into the Graduate Program. The teams include Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, and Government & Infrastructure. Applicants should be eligible for a Co-op internship, be a final-year student with a related degree (Business or Engineering) and a 3.0/4.0 GPA. Arabic speakers are preferred. The position does not offer visa sponsorship."
KPMG Saudi Arabia,"Advisory COOP (Riyadh, Jeddah & Khobar)",Riyadh,kpmg.com.sa,https://www.linkedin.com/jobs/view/advisory-coop-riyadh-jeddah-khobar-at-kpmg-saudi-arabia-4055612910,2024-10-20T13:43:55.000Z,3.0,4.0,"computer science, information systemstechnology, finance, electrical, industrial, management information systems, risk management, project management, human resource management, marketing, engineering computer, cybersecurityinformation security, business administration, design, accounting, auditing",6 months,"Excellent communication skills in English and Arabic, Strong intercultural awareness","KPMG Saudi Arabia is hiring for an Advisory COOP program in Riyadh, Jeddah, and Khobar. The six-month internship is open to Bachelor's degree students or senior students with a GPA of 3 out of 4 or 4 out of 5. Required majors include Computer Science, Cybersecurity, Management Information Systems, Information Systems/Technology, Engineering (various branches), Business Administration, Finance, Accounting, Auditing, Risk Management, Design, Marketing, Human Resource Management, and Project Management. Strong English and Arabic communication skills and intercultural awareness are also necessary. Successful candidates will gain a comprehensive understanding of KPMG, work experience, professional development opportunities, and networking possibilities. Upon completion and degree attainment, there's a chance to secure a graduate role based on performance."
Nahdi Medical Co.,Commercial Internship,Saudi Arabia,nahdi.sa,https://www.linkedin.com/jobs/view/commercial-internship-at-nahdi-medical-co-4067534595,2024-11-03T17:22:14.333Z,,,industrial engineering,6 months,"Good analytics skills, Proficient in Microsoft Office applications (Word, Excel, PowerPoint & Outlook), Excellent written and verbal communication skills.","Nahdi Medical Co. Internship (COOP) Program is a six-month training program for undergraduate Saudi students. The Commercial department manages buying, planning, and category management to meet sales targets and manage supplier relationships. Interns will work in Category Management or Merchandise Planning. Qualifications include a Bachelor's degree (Industrial Engineering preferred), Saudi nationality, English proficiency, analytical skills, Microsoft Office proficiency, and excellent communication skills. The application process involves an online application, assessment, HR interview, and a business interview. The internship runs from January 2025 to July 2025. [1]"
Nahdi Medical Co.,IT Internship,Saudi Arabia,nahdi.sa,https://www.linkedin.com/jobs/view/it-internship-at-nahdi-medical-co-4067532817,2024-11-03T17:55:50.970Z,,,"computer science, computer engineering, cybersecurity, information systems, information technology, software engineering",6 months,"Proficient in English, Proficient in Microsoft Office applications (Word, Excel, PowerPoint, & Outlook), Excellent written and verbal communication skills","Nahdi Medical Co. offers a six-month IT Internship program for Saudi undergraduate students or recent graduates in relevant fields (Computer Science, Software Engineering, etc.). The internship involves working in one of five IT functions: IT Operations, Business Intelligence, Retail & Corporate Applications, IT Data Management, or IT Risk & Governance. Qualifications include proficiency in English and Microsoft Office, and excellent communication skills. The application process involves an online application, assessments, and interviews. The internship runs from January to July 2025. Nahdi Medical Co. is described as ""Saudi Arabia's most loved health and wellbeing partner, trusted by millions."""
KPMG Saudi Arabia,"Tax COOP (Riyadh, Jeddah, Khobar)",Riyadh,kpmg.com.sa,https://www.linkedin.com/jobs/view/tax-coop-riyadh-jeddah-khobar-at-kpmg-saudi-arabia-4063116740,2024-10-29T19:44:11.000Z,3.0,4.0,"law, economics, accounting",6 months,"Excellent communication skills in English and Arabic, Strong intercultural awareness","KPMG Saudi Arabia's Tax COOP program is a six-month internship designed to give students practical experience applying their university knowledge. Requirements include a bachelor's degree (or senior student status), a GPA of 3 out of 4 or 4 out of 5, excellent communication skills in English and Arabic, strong intercultural awareness, and successful completion of online assessments and interviews. Eligible majors are Accounting, Law, and Economics. Benefits include a comprehensive understanding of KPMG, a diverse work environment, professional development opportunities, and the potential for a graduate role upon completion and degree attainment."
PwC Middle East,Deals COOPs - Forensics - KSA,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/deals-coops-forensics-ksa-at-pwc-middle-east-4061435094,2024-10-29T08:37:13.760Z,3.0,,"business, accounting, finance, engineering",28 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","PwC Middle East is hiring for a Deals COOPs - Forensics - KSA position in Riyadh, Saudi Arabia. The Co-op internship offers students the chance to work on live client projects alongside experienced professionals. The program starts in January 2024 and lasts 28 weeks. Successful interns may be offered a graduate job. The role involves working on client engagements within Transaction Services, Business Restructuring Services, Forensic Services, Valuations, Corporate Finance, Deals, Strategy & Operations, or Government & Infrastructure. Applicants should be eligible for a Co-op internship, be a final-year student with a related degree (Business or Engineering preferred) and a 3.0/4.0 GPA. Arabic speakers are preferred. The company does not sponsor work visas."
PwC,Tax & Legal Services_TP_ Co-op - KSA,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/tax-legal-services-tp-co-op-ksa-at-pwc-4061744445,2024-10-28T19:45:30.000Z,,,"economics, finance, accounting, law",,"Time management, Communication skills, Adaptability, Problem-solving",No description or company information found
PwC,EDGE - Transaction Services - Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-transaction-services-riyadh-at-pwc-4061750232,2024-10-28T19:47:09.630Z,2.5,3.5,"business, stem",,"Client management, problem solving, analytical thinking, presentation skills","Do you want to create the foundations of businesses that could transform entire countries and regions? Join us on our Deals Graduate Programme (Edge) and be a part of a human-led, tech-powered future. You'll work across a variety of clients to assist them with their deal needs including: strategy and transaction advisory (due diligence and valuations) for domestic and cross border M&A, divestitures and spin-offs, capital markets transactions like IPOs, as well as business restructurings, including bankruptcies and forensic services. In addition, we work on capital projects including mega projects and provide infrastructure and government advice. Each of our Edge Graduates have a different journey and enjoy the benefits of being part of such a diversified group who positively contribute to their clients' growth in a variety of ways. Let us help shape your journey! Over the three years of the Edge programme, we'll help you learn how to investigate client needs effectively, create proposals to reach solutions and present information effectively to people of all levels, knowledge, areas and backgrounds. Human-led, Tech-powered You might think that Deals only about propositions and acquisitions, but that's not all that it means. At PwC Middle East, Deals is about providing opportunities, accelerating transformation and developing stronger capabilities. Our teams go above and beyond to understand their clients, the markets they're in and what they're trying to achieve. Our clients need to make strategic moves and Deals is the reason they can. Discover your future with us We're looking for versatile graduates with a real interest in problem solving. You need to be curious and confident in asking questions. You should also be: A recent or final-year undergraduate on track for a 3.5 GPA or equivalent in a STEM or Business-related degree subject area Fluent in English with a preference for native Arabic language skills (spoken and written) During the programme, we'll help you to develop your client management, problem solving, analytical thinking and presentation skills, so it's important that you're willing and keen to learn and drive your own development. Our programme won't just help you build the practical experience needed to develop a successful career but will also give you the opportunity to complete a professional qualification during your journey, including Chartered Financial Analyst (CFA), Association of Chartered Certified Accountants (ACCA), Associate Chartered Accountant (ACA) or Certified Public Accountant (CPA). We'll also offer a wide range of employee benefits differing by location, including: Flexible working model Holistic wellbeing initiatives and programmes Medical cover and employee life insurance We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Ready to transform the Middle East? Submit your application today. Start date: September 2024"
Amazon,"Program Management Intern, Operations Engineering (AMET)",Jiddah,amazon.co.uk,https://www.linkedin.com/jobs/view/program-management-intern-operations-engineering-amet-at-amazon-4056920848,2024-10-22T15:21:33.000Z,,,"business management, project management, engineering",3-6 months,"Analytical skills (advanced Microsoft Excel), written and verbal communication skills (English), problem-solving, proactive issue resolution, project management tools (Gantt charts, Microsoft Project, Asana), data analysis.","We are seeking savvy, motivated Program Manager Interns to join our available roles in some of the following teams, including: Transportation, Operations Engineering, Operations Construction, Sustainability, Compliance, Prime Now, Amazon Logistics (AMZL), Amazon Transportation Services (ATS) or Environmental, Health, and Safety Programs (EHS).  Key job responsibilities include supporting Project Managers, recommending and executing network improvements, identifying process improvement opportunities, and contributing innovative solutions. Key learning objectives focus on project management, data analytics, and soft skills. Basic qualifications include a 2+ year university degree in a relevant field, excellent analytical skills (advanced Microsoft Excel), and excellent communication skills.  Preferred qualifications are not required but include previous knowledge of project management tools and relevant work experience."
Amazon Web Services (AWS),"2025 Technical Business Developer Intern - KSA National, AWS",Riyadh,amazon.com,https://www.linkedin.com/jobs/view/2025-technical-business-developer-intern-ksa-national-aws-at-amazon-web-services-aws-4055978067,2024-10-23T17:57:53.000Z,,,"computer science, information systems, it, engineering",12 weeks,"Understanding of cloud computing and distributed systems, quantitative analysis, problem-solving, scoping business requirements, project delivery (conception to completion), meeting deadlines, prioritizing projects and activities.","The AWS internship program starts June/July 2025 and is for penultimate year students graduating in 2026. Interns will contribute to business capture strategies and proposals for new AWS regions, focusing on building scalable distributed systems and cloud services. Required qualifications include a Bachelor's degree (or higher) in a technical field and being in the penultimate year of study with a 2026 graduation date. Preferred qualifications include understanding cloud computing and distributed systems, analytical and problem-solving skills, and project management abilities."
Nahdi Medical Co.,Accounting Internship,Saudi Arabia,nahdi.sa,https://www.linkedin.com/jobs/view/accounting-internship-at-nahdi-medical-co-4067535525,2024-11-03T17:24:20.493Z,,,accounting,6 months,"Proficient in English, Proficient in Microsoft Office applications (Word, Excel, PowerPoint, Outlook), Excellent written and verbal communication","Nahdi Medical Co. is hiring for an Accounting Internship. The six-month internship program offers hands-on experience in financial control or financial planning. Applicants should be Saudi nationals or considered Saudi, studying for a Bachelor's in Accounting, proficient in English and Microsoft Office, and possess excellent communication skills. The application process involves an online application, behavioral assessment, HR interview, and a business interview. The internship runs from January 2025 to July 2025."
